text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: [user]: That's very helpful | [assistant]: The challenge you're facing with integration complexity is common... | Turn 6, Budget: premium | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_7445,6,user,That's very helpful,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6329210468514083,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.6, ""content_length"": 19}"
"Context: [user]: The documentation says quote but I'm confused about aspect | [assistant]: Based on your data scientist background, I'd suggest... | Turn 2, Budget: premium | Current: [user]: What would you recommend for situation?",0,store,"[2.0, 39.0, 6.0, 0.0, 0.6666666666666666, 1.0, 0.0, 1.0, 0.0, 0.0]",technical_deep_dive_4551,2,user,What would you recommend for situation?,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7498528165924938,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.15384615384615385, ""content_length"": 39}"
"Context: [user]: I'm particularly interested in aspect | [assistant]: Your interests in travel, startups align well with your profession. | Turn 4, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[4.0, 27.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_3715,4,user,Thanks for the explanation!,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7088579355771362,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.3333333333333333, ""content_length"": 27}"
"Context: [user]: Thanks for the explanation! | [assistant]: Nice to meet you! London is a great place for designers. | Turn 6, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_3795,6,user,Thanks for the explanation!,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.758409673351124,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 27}"
"Context: [assistant]: I can help you with that. | [user]: I appreciate your help | Turn 11, Budget: premium | Current: [assistant]: That's an important consideration.",0,store,"[11.0, 34.0, 4.0, 1.0, 0.9166666666666666, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_8579,11,assistant,That's an important consideration.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5918747324031591,"{""template"": ""business_consultation"", ""turn_ratio"": 0.8461538461538461, ""content_length"": 34}"
"Context: [assistant]: In the context of manufacturing, the key considerations are... | [user]: Can you help me understand concept? | Turn 3, Budget: premium | Current: [assistant]: In the context of manufacturing, the key considerations are...",0,store,"[3.0, 62.0, 9.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_7060,3,assistant,"In the context of manufacturing, the key considerations are...",technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6296233048694146,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.2727272727272727, ""content_length"": 62}"
"Context: [user]: I live in Toronto and I'm interested in machine learning, technology | [assistant]: Your experience in education sounds fascinating. | Turn 2, Budget: standard | Current: [user]: Can you help me understand concept?",0,store,"[2.0, 35.0, 6.0, 0.0, 0.6666666666666666, 0.5, 0.0, 1.0, 0.0, 0.0]",personal_information_sharing_3190,2,user,Can you help me understand concept?,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8102233158264751,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.16666666666666666, ""content_length"": 35}"
"Context: [assistant]: Feel free to ask if you have more questions. | [user]: That's interesting | Turn 5, Budget: minimal | Current: [assistant]: I'm glad I could help.",0,store,"[5.0, 22.0, 5.0, 1.0, 0.8333333333333334, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_7319,5,assistant,I'm glad I could help.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.17102312995316948,"{""template"": ""casual_chat"", ""turn_ratio"": 0.7142857142857143, ""content_length"": 22}"
"Context: [assistant]: I understand your situation. | [user]: That's very helpful | Turn 9, Budget: standard | Current: [assistant]: I can help you with that.",0,store,"[9.0, 25.0, 6.0, 1.0, 0.9, 0.5, 0.0, 0.0, 0.0, 0.0]",troubleshooting_session_8613,9,assistant,I can help you with that.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6499262053066998,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.6923076923076923, ""content_length"": 25}"
"Context: [user]: What would you recommend for situation? | [assistant]: I'm glad I could help. | Turn 4, Budget: minimal | Current: [user]: I see",2,drop,"[4.0, 5.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_2789,4,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7357464632057275,"{""template"": ""casual_chat"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 5}"
"Context: [assistant]: That's an important consideration. | [user]: I appreciate your help | Turn 7, Budget: standard | Current: [assistant]: Let me provide some guidance on that.",0,store,"[7.0, 37.0, 7.0, 1.0, 0.875, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_7226,7,assistant,Let me provide some guidance on that.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5272293687696687,"{""template"": ""educational_qa"", ""turn_ratio"": 0.7, ""content_length"": 37}"
"Context: [user]: That's very helpful | [assistant]: Nice to meet you! San Francisco is a great place for product managers. | Turn 6, Budget: standard | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_7019,6,user,That's very helpful,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7301708686575566,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.5454545454545454, ""content_length"": 19}"
"Context: [assistant]: The challenge you're facing with security concerns is common... | [user]: Thanks for the explanation! | Turn 13, Budget: premium | Current: [assistant]: That's a great question about cloud computing. Let me explain...",0,store,"[13.0, 64.0, 10.0, 1.0, 0.9285714285714286, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_4265,13,assistant,That's a great question about cloud computing. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7016035848906035,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.9285714285714286, ""content_length"": 64}"
"Context: [user]: Can you help me understand concept? | [assistant]: You're very welcome! | Turn 4, Budget: minimal | Current: [user]: That's interesting",0,store,"[4.0, 18.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9997,4,user,That's interesting,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.14848621504422965,"{""template"": ""casual_chat"", ""turn_ratio"": 0.5714285714285714, ""content_length"": 18}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: The logs show log_message and I'm not sure what it means",0,store,"[0.0, 56.0, 11.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",troubleshooting_session_2012,0,user,The logs show log_message and I'm not sure what it means,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6267373403004763,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.0, ""content_length"": 56}"
"Context: [user]: I'm particularly interested in aspect | [assistant]: Feel free to ask if you have more questions. | Turn 4, Budget: minimal | Current: [user]: I see",2,drop,"[4.0, 5.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_5236,4,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6685432062723036,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8, ""content_length"": 5}"
"Context: [assistant]: I can help you with that. | [user]: Can you help me understand concept? | Turn 3, Budget: premium | Current: [assistant]: Let me provide some guidance on that.",0,store,"[3.0, 37.0, 7.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_5169,3,assistant,Let me provide some guidance on that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5988967723735871,"{""template"": ""business_consultation"", ""turn_ratio"": 0.25, ""content_length"": 37}"
"Context: [user]: I appreciate your help | [assistant]: In the context of finance, the key considerations are... | Turn 10, Budget: premium | Current: [user]: That's very helpful",0,store,"[10.0, 19.0, 3.0, 0.0, 0.9090909090909091, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_1545,10,user,That's very helpful,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7765481521013431,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.9090909090909091, ""content_length"": 19}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: What's the difference between term1 and term2?",0,store,"[0.0, 46.0, 7.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0]",educational_qa_5308,0,user,What's the difference between term1 and term2?,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5279717365710972,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 46}"
"Context: [assistant]: That's an important consideration. | [user]: Thanks for the explanation! | Turn 5, Budget: premium | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_8740,5,assistant,I understand your situation.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6057192005991158,"{""template"": ""business_consultation"", ""turn_ratio"": 0.2777777777777778, ""content_length"": 28}"
"Context: [user]: I appreciate your help | [assistant]: That's a great question about data engineering. Let me explain... | Turn 8, Budget: premium | Current: [user]: I appreciate your help",0,store,"[8.0, 22.0, 4.0, 0.0, 0.8888888888888888, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_8383,8,user,I appreciate your help,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6069897781848796,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.5333333333333333, ""content_length"": 22}"
"Context: [user]: That's very helpful | [assistant]: That's an important consideration. | Turn 8, Budget: premium | Current: [user]: That's very helpful",0,store,"[8.0, 19.0, 3.0, 0.0, 0.8888888888888888, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_8499,8,user,That's very helpful,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5389694500753356,"{""template"": ""business_consultation"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 19}"
"Context: [assistant]: That's an important consideration. | [user]: That's very helpful | Turn 9, Budget: premium | Current: [assistant]: Let me provide some guidance on that.",0,store,"[9.0, 37.0, 7.0, 1.0, 0.9, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_8499,9,assistant,Let me provide some guidance on that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6256346949504873,"{""template"": ""business_consultation"", ""turn_ratio"": 0.75, ""content_length"": 37}"
"Context: [user]: That's interesting | [assistant]: I'm glad I could help. | Turn 6, Budget: minimal | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_7319,6,user,Thanks for the explanation!,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.0898243653129488,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: I see",2,drop,"[0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_2317,0,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6879185204505099,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 5}"
"Context: [user]: That's interesting | Turn 1, Budget: minimal | Current: [assistant]: Feel free to ask if you have more questions.",0,store,"[1.0, 44.0, 9.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",casual_chat_1905,1,assistant,Feel free to ask if you have more questions.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.13858510403272775,"{""template"": ""casual_chat"", ""turn_ratio"": 0.14285714285714285, ""content_length"": 44}"
"Context: [user]: What would you recommend for situation? | [assistant]: That's an important consideration. | Turn 4, Budget: standard | Current: [user]: I appreciate your help",0,store,"[4.0, 22.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_2224,4,user,I appreciate your help,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6086756745779829,"{""template"": ""educational_qa"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 22}"
"Context: [assistant]: I'm doing well, thank you for asking! | [user]: That's interesting | Turn 5, Budget: minimal | Current: [assistant]: I'm glad I could help.",0,store,"[5.0, 22.0, 5.0, 1.0, 0.8333333333333334, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_3708,5,assistant,I'm glad I could help.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.05,"{""template"": ""casual_chat"", ""turn_ratio"": 0.7142857142857143, ""content_length"": 22}"
"Context: [user]: I read that fact but I don't understand aspect | Turn 1, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[1.0, 28.0, 4.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_7226,1,assistant,I understand your situation.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5247881231022374,"{""template"": ""educational_qa"", ""turn_ratio"": 0.1, ""content_length"": 28}"
"Context: [assistant]: Your experience in retail sounds fascinating. | [user]: What would you recommend for situation? | Turn 3, Budget: standard | Current: [assistant]: Your interests in startups, photography align well with your profession.",0,store,"[3.0, 72.0, 10.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_7019,3,assistant,"Your interests in startups, photography align well with your profession.",personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8657663010049526,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.2727272727272727, ""content_length"": 72}"
"Context: [assistant]: The challenge you're facing with data quality is common... | [user]: I appreciate your help | Turn 5, Budget: premium | Current: [assistant]: That's a great question about cloud computing. Let me explain...",0,store,"[5.0, 64.0, 10.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_1654,5,assistant,That's a great question about cloud computing. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7360682685680396,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.38461538461538464, ""content_length"": 64}"
"Context: [user]: That's very helpful | [assistant]: I understand your situation. | Turn 6, Budget: premium | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_4169,6,user,I appreciate your help,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6940639658512711,"{""template"": ""business_consultation"", ""turn_ratio"": 0.4, ""content_length"": 22}"
"Context: [assistant]: Feel free to ask if you have more questions. | [user]: I see | Turn 5, Budget: minimal | Current: [assistant]: I'm glad I could help.",0,store,"[5.0, 22.0, 5.0, 1.0, 0.8333333333333334, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_5360,5,assistant,I'm glad I could help.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.12621459994707612,"{""template"": ""casual_chat"", ""turn_ratio"": 0.625, ""content_length"": 22}"
"Context: [user]: Alright | [assistant]: Feel free to ask if you have more questions. | Turn 2, Budget: minimal | Current: [user]: Can you help me understand concept?",0,store,"[2.0, 35.0, 6.0, 0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 0.0, 0.0]",casual_chat_6102,2,user,Can you help me understand concept?,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.18962907892208625,"{""template"": ""casual_chat"", ""turn_ratio"": 0.25, ""content_length"": 35}"
"Context: [user]: Can you help me understand concept? | [assistant]: You're very welcome! | Turn 4, Budget: minimal | Current: [user]: Alright",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9261,4,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7666543149549025,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8, ""content_length"": 7}"
"Context: [user]: That's very helpful | [assistant]: That's an important consideration. | Turn 6, Budget: standard | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_4906,6,user,That's very helpful,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7068321030117426,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.75, ""content_length"": 19}"
